SiteID,Reach,Feature,BirdsPresent,LatitudeDD,LongitudeDD,PitTagID,MarkSpecies,MarkDate,MarkSite,Comments
1,Deadwater Slough,Other,None,45.389262,-114.03606,3DD.00779AF451,Sockeye,4/20/2017,Redfish Lake Creek Trap,No nest... Cottonwood gallery...tag near mammal droppings on river Bank... 
2,Deadwater Slough,Nest in tree,Eagle,45.390398,-114.0377867,3D9.1C2CF51C52,Chinook,8/13/2011,Sawtooth Trap,30 yards from base of nest tree
3,Deadwater Slough,Other,None,45.394078,-114.0344583,3D9.1C2C31B9A0,Steelhead,10/16/2007,Lemhi River,Gravel bar
4,Deadwater Slough,Other,Eagle,45.39775,-114.030465,3D9.1C2DD32B08,Steelhead,4/16/2012,Sawtooth Hatchery,Eagle perched in tree
5,Deadwater Slough,Other,None,45.388262,-114.048935,3DD.0077AE66D4,Sockeye,5/8/2018,Sawtooth Hatchery,Tip of island beach no nest
5,Deadwater Slough,Other,None,45.38827,-114.0489567,3DD.0077BC4FE6,Sockeye,10/26/2017,Redfish Lake Creek Trap,Tip of island beach no nest
6,Deadwater Slough,Other,None,45.388428,-114.0471683,3DD.0077968E88,Steelhead,10/27/2016,Yankee Fork Salmon River,Tag under tree no nest
7,Deadwater Slough,Other,Eagle,45.401527,-114.0285,3DD.007756EA55,Sockeye,5/9/2014,Redfish Lake Creek Trap,Ground under tree no nest
8,Deadwater Slough,Nest in tree,Eagle,45.402857,-114.0277233,3DD.003BF2E68E,Chinook,11/2/2016,"Hayden Creek, Lemhi River Basin",Under tree eagle nest
9,Deadwater Slough,Nest in tree,None,45.387345,-114.0518433,,,,,
10,Deadwater Slough,Other,None,45.387798,-114.05051,3D9.1C2D370726,Chinook,3/16/2010,Pahsimeroi Pond,Tag found under group of trees.... No nest
