"smoltyear","medsar","sdsar","loci","hici"
1998,0.871202245639714,0.081300200457758,0.72348821682083,1.04097299760381
1999,1.37231454832601,0.0934042029983633,1.20250555764361,1.56843108257598
2000,1.4270387097375,0.0565995476172905,1.32157493168867,1.54409726878952
2001,0.175593293110218,0.0487351334785653,0.0989532657423406,0.286285301846727
2002,0.653489711107384,0.0565775239025928,0.548054061718483,0.767298951594405
2003,0.129328247991263,0.0196960132065274,0.0945390105586717,0.171059517987592
2004,0.120629564761801,0.0227991669421697,0.0826180593528727,0.171303503417568
2005,0.133418363072703,0.0260477887950585,0.0890924800129254,0.190350223015034
2006,0.633541525311175,0.061275315196607,0.525604144477598,0.766279557987599
2007,0.595031594871358,0.0507433164079568,0.500446528486821,0.700356965199053
2008,1.81531042211114,0.104990574763708,1.61554930865494,2.02996322815622
2009,0.986686446342865,0.0637572615673015,0.864130632164428,1.11433905162847
2010,0.416458493729357,0.041276108472607,0.342397922021915,0.502484364926824
2011,0.272719400783172,0.0285382879554516,0.219551457140969,0.331997600943439
2012,0.814860756352271,0.0510179667984134,0.718000679707711,0.919921768490247
2013,0.7187743987385,0.0598364022402528,0.608528970534833,0.843316460773557
2014,0.35498040750538,0.0317199919423396,0.296837989055535,0.423205419459781
2015,0.101844803997438,0.0316152316988387,0.0536791513848053,0.179260307307303
